acta,codigo,maduro,edmundo,otros,total_validos,total_nulo,total_invalido
021258_210004_0030Acta0030.jpg,200601002.01.1.0001,200,324,11,535,0,0
021258_215133_0023Acta0023.jpg,200601013.02.1.0001,196,185,5,386,0,0
021274_243351_2024-07-29-0003.jpg,010116003.03.1.0001,216,379,31,626,0,0
021274_755398_2024-07-29-0001.jpg,010112001.01.1.0001,204,357,25,586,0,0
021274_881505_2024-07-29-0002.jpg,010118032.01.1.0001,83,374,17,474,1,1
021274_974253_2024-07-29-0003.jpg,010112019.02.1.0001,82,272,8,362,0,0
033257_002043_0225Acta0217.jpg,010122018.03.1.0001,205,377,29,611,1,1
033257_007300_0055Acta0047.jpg,010115009.05.1.0001,35,377,6,418,0,0
033257_008979_0169Acta0161.jpg,010107021.01.1.0001,171,388,23,582,0,0
033257_031873_0121Acta0113.jpg,010107028.04.1.0001,136,335,17,488,0,0
033257_033746_0160Acta0152.jpg,010107020.01.1.0001,113,294,14,421,0,0
033257_079095_0208Acta0200.jpg,010107017.03.1.0001,130,329,18,477,0,0
033257_096695_0114Acta0106.jpg,010107005.01.1.0001,238,286,24,548,0,0
033257_153799_0052Acta0044.jpg,010115009.08.1.0001,41,346,5,392,0,0
033257_191627_0226Acta0218.jpg,010122014.01.1.0001,145,327,5,477,0,0
033257_192894_0029Acta0021.jpg,010109004.06.1.0001,132,320,14,466,0,0
033257_209256_0172Acta0164.jpg,010107021.03.1.0001,174,396,16,586,0,0
033257_228977_0285Acta0277.jpg,010122047.01.1.0001,157,251,17,425,1,1
033257_252113_0151Acta0143.jpg,010107037.03.1.0001,133,224,15,372,0,0
033257_305939_0251Acta0243.jpg,010122019.01.1.0001,193,412,27,632,0,0
033257_306015_0308Acta0300.jpg,010122001.01.1.0001,135,295,21,451,0,0
033257_344462_0016Acta0010.jpg,010109002.01.1.0001,97,276,17,390,0,0
033257_365524_0084Acta0076.jpg,010115012.01.1.0001,126,374,19,519,0,0
